                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.95895,                 0.8349,                0.99891,                0.55308,                0.47296,                0.44903,                0.30706,                 1.2716,                 1.3173,                 1.1722,             0.00013629,             0.00013629,             0.00013629
                     64,                0.94882,                0.82607,                 0.9959,                0.55458,                0.42494,                0.43128,                0.30018,                 1.3092,                  1.327,                 1.1946,             0.00012941,             0.00012941,             0.00012941
                     65,                0.95667,                0.84038,                 1.0013,                0.65539,                0.38726,                0.43696,                0.30019,                 1.2882,                 1.3277,                  1.172,             0.00012253,             0.00012253,             0.00012253
                     66,                0.91834,                0.79732,                0.98536,                0.47047,                0.43929,                0.41978,                 0.2951,                 1.2868,                 1.3127,                 1.1782,             0.00011565,             0.00011565,             0.00011565
                     67,                0.93205,                0.80827,                0.99088,                0.47595,                0.46022,                0.43646,                0.30131,                 1.2878,                 1.3171,                 1.1816,             0.00010877,             0.00010877,             0.00010877
                     68,                0.91786,                0.78934,                0.98302,                0.60119,                0.41162,                0.43079,                0.29962,                 1.2764,                 1.3175,                 1.1803,             0.00010189,             0.00010189,             0.00010189
                     69,                0.90745,                0.77418,                0.98427,                0.61253,                 0.4185,                0.43727,                0.29952,                 1.2907,                 1.3257,                 1.1822,             9.5006e-05,             9.5006e-05,             9.5006e-05
                     70,                0.90897,                0.76525,                0.98063,                0.49065,                0.47968,                0.45479,                0.31286,                 1.2958,                 1.3282,                 1.1894,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     71,                0.90971,                0.76978,                 0.9778,                0.55514,                0.42977,                0.43913,                0.30072,                 1.2804,                 1.3104,                 1.1866,             8.1245e-05,             8.1245e-05,             8.1245e-05
                     72,                0.89181,                0.73303,                0.97522,                0.47544,                0.48812,                0.45296,                0.31167,                 1.2852,                  1.325,                 1.1837,             7.4365e-05,             7.4365e-05,             7.4365e-05
                     73,                0.87764,                0.71011,                0.96802,                0.59603,                0.43169,                0.43526,                0.29768,                 1.2785,                  1.319,                 1.1887,             6.7485e-05,             6.7485e-05,             6.7485e-05
                     74,                0.86501,                0.69908,                 0.9657,                0.59095,                0.42932,                0.42521,                 0.2947,                 1.2803,                  1.325,                 1.1851,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     75,                 0.8542,                0.68701,                0.96404,                0.47823,                0.46007,                0.44413,                0.30718,                 1.2931,                 1.3361,                 1.1897,             5.3724e-05,             5.3724e-05,             5.3724e-05
                     76,                0.85236,                0.68483,                0.96063,                 0.5588,                0.42603,                0.42227,                0.29316,                 1.2928,                 1.3285,                 1.1946,             4.6843e-05,             4.6843e-05,             4.6843e-05
                     77,                0.84943,                0.67509,                 0.9548,                0.48536,                0.41228,                0.43091,                0.29761,                 1.2896,                 1.3315,                 1.1957,             3.9962e-05,             3.9962e-05,             3.9962e-05
                     78,                0.83573,                0.66769,                0.95351,                0.51855,                0.46584,                0.45737,                0.31232,                 1.2913,                  1.321,                 1.1964,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     79,                0.83608,                0.65403,                0.96256,                0.50504,                0.43231,                0.43563,                0.30071,                 1.2886,                 1.3334,                  1.192,             2.6201e-05,             2.6201e-05,             2.6201e-05
                     80,                0.83018,                0.65585,                0.95049,                0.58784,                0.41516,                0.43897,                0.30463,                  1.298,                 1.3343,                  1.197,             1.9321e-05,             1.9321e-05,             1.9321e-05
